الرقم;الشركة الناشئة;الدولة;المجال;وصف النشاط
1575;Degron Therapeutics;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;تحفيز واستهداف البروتينات العصبية في آثار السرطان. 
1576;Chimagen Biosciences;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;تحليل شامل لتسلسل الأحماض النووية وتطوير العلاجات. 
1577;EpimAb Biotherapeutics;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;منصة تطوير الأجسام المضادة ثنائية الوظيفة. 
1578;Biosion Biomedical Technology;نانجينغ;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;علاج نووي مستهدف لعلاج الأورام. 
1579;Hansoh Pharma;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;دعم تطوير علاجات بيولوجية وعلاجات جزيئية متقدمة. 
1580;CSPC Pharmaceuticals Group;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;منتجات أدوية متقدمة وتعاون عالمي في العلاجات المناعية. 
1581;CanSino Biologics;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;لقاحات للأمراض المعدية، إنتاج واسع. 
1582;BGI Genomics;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;تحليل جينومي شامل وأبحاث السكريوميات. 
1583;Zai Lab;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;أدوية بيولوجية في الأورام ونوعية الحياة. 
1584;Simcere Zaiming Global;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;أبحاث وتوزيع العلاجات البيولوجية. 
1585;Leads Biolabs;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;منصّات لتحليل بيولوجي وتطوير برامج العلاج. 
1586;Allist Pharmaceuticals;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;تطوير أدوية بيولوجية مستهدفة للأمراض المزمنة والسرطان باستخدام تقنيات الأجسام المضادة.
1587;Bio-Thera Solutions;سوژو;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;أجسام مضادة أحادية ومتعددة الوظائف لعلاج السرطان والأمراض المناعية.
1588;Viva Biotech;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;منصة اكتشاف أدوية تعتمد على الكيمياء الحيوية والتقنيات الجزيئية للأدوية البيولوجية.
1589;I-Mab Biopharma;شانغهاي;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;شركة أبحاث بيولوجية لتطوير أدوية سرطان متقدمة وأجسام مضادة ثنائية.
1590;Wuxi AppTec;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;خدمات تطوير وإنتاج أدوية حيوية وخدمات اختبار ما قبل السريرية.
1591;Kangstem Biotech;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;تطوير علاجات الخلايا الجذعية لأمراض الدماغ والأورام المناعية.
1592;Genor Biopharma;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;أجسام مضادة وعلاجات بيولوجية لعلاج السرطان وأمراض المناعة الذاتية.
1593;3SBio;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;شركة تطوير أدوية بيولوجية متقدمة ومنتجات بروتينات معادلة.
1594;Zhenge Biopharma;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;أبحاث وتطوير أدوية بيولوجية للأمراض السرطانية والمزمنة.
1595;Allcyte Biopharma;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;حلول علاجية جزيئية وبيولوجية للأورام وأمراض المناعة.
1596;Ascentage Pharma;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;أدوية بيولوجية مستهدفة لعلاج الأورام والأمراض المزمنة.
1597;Betta Pharmaceuticals;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;تطوير الأدوية البيولوجية والجزيئية لعلاج الأمراض المستعصية.
1598;CStone Pharmaceuticals;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;علاجات بيولوجية وأدوية سرطانية مبتكرة قائمة على الأجسام المضادة.
1599;Chia Tai Tianqing;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;تطوير أدوية حيوية ولقاحات مبتكرة للأمراض المزمنة.
1600;GenScript Biotech;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;حلول هندسة البروتين، تسلسل DNA، وتطوير أدوية حيوية.
1601;Suzhou RiboLife Sciences;سوژو;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;تطوير تكنولوجيا العلاج بالـ RNA لتوجيه الأدوية الجزيئية.
1602;Oricell Biotech;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;خدمات تطوير أدوية الخلايا والعلاج الجيني.
1603;Aptorum Group;هونغ‑كونغ;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;أبحاث وتطوير أدوية جديدة لعلاج الأورام والأمراض النادرة.
1604;AccuImmune;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;تطوير أدوية مناعية وأجسام مضادة مستهدفة.
1605;BioMind Biopharma;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;علاجات جزيئية للأمراض المزمنة والسرطان.
1606;Cellular Biomedicine Group;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;تطوير علاجات الخلايا CAR-T والأجسام المضادة للأورام.
1607;GeneQuantum Healthcare;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;تطوير أدوية جزيئية وحيوية مستهدفة للأمراض المستعصية.
1608;Simcere Pharmaceutical;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;أبحاث أدوية بيولوجية للأمراض المزمنة والسرطان.
1609;Chongqing Zhifei Biological Products;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;تطوير لقاحات وعلاجات بيولوجية مستهدفة.
1610;Ascletis Pharma;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;علاجات بيولوجية للأمراض الفيروسية والكبدية.
1611;WuXi Biologics;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;خدمات تطوير وإنتاج أدوية حيوية مبتكرة.
1612;RemeGen;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;أجسام مضادة وعلاجات جزيئية للأورام.
1613;Hrain Biotechnology;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;أبحاث وعلاجات بيولوجية مبتكرة للأورام والمناعة.
1614;Zenith Biopharma;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;تطوير أدوية CAR-T والعلاج المناعي المتقدم.
1615;EdiGene;الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;تقنيات تحرير الجينوم وتطوير أدوية جزيئية.
1616;Sorrento Therapeutics (China arm);الصين;البيوتيكنولوجيا، البيولوجيا الحيوية، الجزئية;تطوير علاجات مناعية وأجسام مضادة متقدمة.
